Source,Target,Type,Weight
UgxwYvQcPHxYMjVe8ZZ4AaABAg,l9XuvDXJlZI,Directed,1
Ugybqlt4Lnm404eiv7Z4AaABAg,l9XuvDXJlZI,Directed,1
UgxO0r-J8pWMBfCJ6RN4AaABAg,l9XuvDXJlZI,Directed,1
Ugx1sHBmQ9L3xfzEChh4AaABAg,l9XuvDXJlZI,Directed,1
Ugz316AIxzun60riGUx4AaABAg,l9XuvDXJlZI,Directed,1
UgyscfCRh0qBtJ8kbJ94AaABAg,l9XuvDXJlZI,Directed,1
UgxuKkGViScAgumDu9Z4AaABAg,l9XuvDXJlZI,Directed,1
Ugzje1JBVtYfDhY2VGh4AaABAg,l9XuvDXJlZI,Directed,1
UgwevHBJX29A3Gv4fWl4AaABAg,l9XuvDXJlZI,Directed,1
UgzeA1Wp0eFuu3YsATN4AaABAg,l9XuvDXJlZI,Directed,1
UgwgPvVWGDfn-gICYhh4AaABAg,l9XuvDXJlZI,Directed,1
Ugxe7XmPDGG9X6seBHN4AaABAg,l9XuvDXJlZI,Directed,1
Ugw6HdinWuO0Yky-Q-14AaABAg,l9XuvDXJlZI,Directed,1
UgxlW2flL64rwiPusuF4AaABAg,l9XuvDXJlZI,Directed,1
UgyMAM8ZzH_cvI2zced4AaABAg,l9XuvDXJlZI,Directed,1
UgzNdEERbZ1T7iPXnGN4AaABAg,l9XuvDXJlZI,Directed,1
UgzbHyTPKrKC4l8p7yh4AaABAg,l9XuvDXJlZI,Directed,1
UgwWF-vS-W-QD7CApgN4AaABAg,l9XuvDXJlZI,Directed,1
UgzhceRn-VxNHxNXf-14AaABAg,l9XuvDXJlZI,Directed,1
Ugwi_YN_N3k3TwhEby54AaABAg,l9XuvDXJlZI,Directed,1
Ugxj-g5t6KrjUngPNeJ4AaABAg,l9XuvDXJlZI,Directed,1
UgxGA98xt31aY1Cv-a94AaABAg,l9XuvDXJlZI,Directed,1
Ugy1KEznwlhCsLOrJQl4AaABAg,l9XuvDXJlZI,Directed,1
UgwTRCErb6FNwB9E7Yl4AaABAg,l9XuvDXJlZI,Directed,1
Ugy_Jt5Qm9wPj1dtLg94AaABAg,l9XuvDXJlZI,Directed,1
UgzYcuEtjMepOPWLSGp4AaABAg,l9XuvDXJlZI,Directed,1
UgyylZfpJTvL9eu1mkp4AaABAg,l9XuvDXJlZI,Directed,1
UgwrnT4DgY42aHpfmjl4AaABAg,l9XuvDXJlZI,Directed,1
Ugwbc9QHZhWSZzP8Lcx4AaABAg,l9XuvDXJlZI,Directed,1
Ugy5OyGX5hOWjZkc9hp4AaABAg,l9XuvDXJlZI,Directed,1
UgxDjf7d6lLdD9rDgQF4AaABAg,l9XuvDXJlZI,Directed,1
Ugze_roVgaU3zrE2AJh4AaABAg,l9XuvDXJlZI,Directed,1
UgywdNZ4Y5MPaXMXNAJ4AaABAg,l9XuvDXJlZI,Directed,1
Ugy6IQE6_l-UCmvT_CN4AaABAg,l9XuvDXJlZI,Directed,1
UgzqP3kgHke2VZTijtZ4AaABAg,l9XuvDXJlZI,Directed,1
UgyuSl7G6dQhj1h7HfR4AaABAg,l9XuvDXJlZI,Directed,1
Ugyv0JX-uqrZ36OYHLF4AaABAg,l9XuvDXJlZI,Directed,1
UgzyN8FBVrlb0I_LDx14AaABAg,l9XuvDXJlZI,Directed,1
Ugx_4cEELp5qv4Ro0tp4AaABAg,l9XuvDXJlZI,Directed,1
UgxOUheoLVyiWSPzDHl4AaABAg,l9XuvDXJlZI,Directed,1
UgxXYfrZQRC9Wsz5PMR4AaABAg,l9XuvDXJlZI,Directed,1
UgyZI_fJrJb52VblqEF4AaABAg,l9XuvDXJlZI,Directed,1
Ugyd3ArA7eUKIOl9Yz14AaABAg,l9XuvDXJlZI,Directed,1
UgxH9S-b7asKgMRr5Yl4AaABAg,l9XuvDXJlZI,Directed,1
UgyZclpTgPp-ka77zER4AaABAg,l9XuvDXJlZI,Directed,1
UgxcICPrVjMNeaFOqZl4AaABAg,l9XuvDXJlZI,Directed,1
UgzqzfhtdXnsQAvbsxJ4AaABAg,l9XuvDXJlZI,Directed,1
UgyBxK_pQCf0ouehz5d4AaABAg,l9XuvDXJlZI,Directed,1
Ugx75h1gpjNeZfLbU_R4AaABAg,l9XuvDXJlZI,Directed,1
Ugyl4TVaa5rkopLZ26R4AaABAg,l9XuvDXJlZI,Directed,1
Ugx5DVFcyk4JSL0QUEd4AaABAg,l9XuvDXJlZI,Directed,1
UgwGhrImrGA7p9vEN-94AaABAg,l9XuvDXJlZI,Directed,1
UgzMzXd055z5WkRLHXR4AaABAg,l9XuvDXJlZI,Directed,1
UgzN0yyl60E_SbMS0LB4AaABAg,l9XuvDXJlZI,Directed,1
UgxltbtWAO3og2VYdrp4AaABAg,l9XuvDXJlZI,Directed,1
Ugy2mZo-b8Wejp69xpd4AaABAg,l9XuvDXJlZI,Directed,1
UgwkXjuojDFNLSA5qSJ4AaABAg,l9XuvDXJlZI,Directed,1
UgxCcK924j5sTKwxhm14AaABAg,l9XuvDXJlZI,Directed,1
Ugye63aJbEqDJV4Ellx4AaABAg,l9XuvDXJlZI,Directed,1
UgwnK5ZFUc_IupxL26x4AaABAg,l9XuvDXJlZI,Directed,1
UgxgBqMJ3O9zgM5AccN4AaABAg,l9XuvDXJlZI,Directed,1
UgwVi9oQ3nJqBuZB88B4AaABAg,l9XuvDXJlZI,Directed,1
UgxR7N_rwBsygBbiwLp4AaABAg,l9XuvDXJlZI,Directed,1
UgzJ866hVAB5xk76UrF4AaABAg,l9XuvDXJlZI,Directed,1
UgzUHBnDHDT-K3PRI0p4AaABAg,l9XuvDXJlZI,Directed,1
